pointcall_outdate,different date if any,captain_name,different capt if any,ship_name,different ship_name if any,ship_homeport,different homeport if any,observations,geniève (pintes de Paris),eau-de-vie (pintes de Paris),Taffia (pintes de Paris),tabac en feuilles (livres poids),thé (livres poids),corinthes (livres poids),vin rouge (pintes),vin fin (pintes),vin (barriques),vin (pots),liqueurs (pintes),tabac en poudre (livre poids),tabac fabriqué (livres poids),tabac en côtes (livres poids),drogues (livres poids),rhubarbre (livres poids),amidon (livres poids),café (livres poids),sucre brut (livres poids),sucre rafiné (livres),sucre en pain (livres poids),mousseline (livres poids),mousseline (livres tounois),mousseline des Indes (livres tournois),mousselines et mouchoirs (livres tournois),mouchoirs de mousseline (livres poids),mouchoirs de mousselin (valeur en £-stg),mouchoirs de soie (livres poids),mouchoirs de soie (livres tournois),perses (livres poids),nankins (livres poids),nankins (pièces),mouchoirs de Bandannoes (livres poids),Bandanoes (livres poids),bandanoes (valeur livres tournois),Bandanoes (pièces),Dimity (?) (livres poids),crêpes (livres poids),Soie des Indes (livres poids),soie et mousseline (livres tournois),marchandises des Indes (livres tournois),soieries (livres tournois),Jalap (livres poids),Taffetas (livres poids),Cambray (en livres tournois),Cambray (en £ stg),cambray (livres poids),Gauzes (livres poids),mercerie fine (livres poids),sené (livres poids),nacres de perle (livres tournois),pots de vess (en bouteiilles) /  potjevleesch???,porcelaine (livres tournois),voiture,Chocolat (livres poids),cartes à jouer (en livres poids),poudre à poudrer (livres poids),ship_id,ship_tonnage,pointcall_name,homeport_uhgs_id,ship_flag_standardized_fr,source_doc_id,homeport_lat,homeport_long,homeport_standardized_fr,mois,outdate,homeport_geom4326,homeport_comte,homeport_substate_1789_fr,homeport_state_1789_fr,pointcall_uhgs_id,pointcall_toponyme_fr,pointcall_toponyme_en,pointcall_lat,pointcall_long,pointcall_substate_1789_fr,pointcall_state_1789_fr,pointcall_partner_balance_1789,pointcall_partner_balance_supp_1789,pointcall_geom4326,shipment_price
1787=02=22,,"Barber, Samuel",,Sally,,Walton,,,1 380,520,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Bergen [mais: Angleterre],A0387362,britannique,110024,"51,85","1,283,333",Walton,2,1787-02-22,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7075
1787=01=24,1787=01=25,"Barber, Samuel",,Sally,,Walton,,,1 720,600,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,109849,"51,85","1,283,333",Walton,1,1787-01-24,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7346
1787=03=16,,"Barber, Samuel",,Sally,,Walton,,,1 860,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,110181,"51,85","1,283,333",Walton,3,1787-03-16,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7276
1787=12=20,,"Richmont, James","Richmond, James",Rambler,,Burham,,,1 160,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000453N,12,Lisbonne [mais: Angleterre],A0390524,britannique,111920,"51,616,667","833,333",Burnham,12,1787-12-20,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),6851
1787=12=19,,"Richmonds, William","Richmond, William",Rossignol,,Burnham,,,3 160,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001145N,12,Lisbonne [mais: Angleterre],A0390524,britannique,111917,"51,616,667","833,333",Burnham,12,1787-12-19,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),8208
1787=08=16,,"Barber, Samuel",,Sally,,Walton,,,600,1 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,111135,"51,85","1,283,333",Walton,8,1787-08-16,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7158
1787=08=20,,"Harris, William",,Résolution,,,,NOT in the Manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003905N,12,Lisbonne [mais: Angleterre],,britannique,111172,,,,8,1787-08-20,,,,,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7158
1787=05=22,,"Barber, Samuel",,Sally,,Walton,,,1 950,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Bergen [mais: Angleterre],A0387362,britannique,110638,"51,85","1,283,333",Walton,5,1787-05-22,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7282
1787=02=01,,"Blyth, John","Blyth, Jean (spelling?)",Speedy,,Burnham,,,4 000,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000115N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109885,"51,616,667","833,333",Burnham,2,1787-02-01,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),8692
1787=01=31,1787=01=26,"Webster, Jonathan",,Wasp,,Burnham,,,1 500,3 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000010N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109880,"51,616,667","833,333",Burnham,1,1787-01-31,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),8751
1787=01=18,,"Stone, Thomas",,Cleverly,,Burnham,,,2 000,480,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001120N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109819,"51,616,667","833,333",Burnham,1,1787-01-18,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7441
1787=01=17,1787=01=18,"Dyer, John",,Pinck,Oeuillet,Burnham,,,1 400,1 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001121N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109810,"51,616,667","833,333",Burnham,1,1787-01-17,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7866
1787=01=17,,"Wiseman, James","Wyseman, James",Aimable Anne,,Burnham,,,2 000,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001284N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109813,"51,616,667","833,333",Burnham,1,1787-01-17,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7394
1787=01=13,,"Richmont, William","Richmont, Peter (spelling?)",Neptune,,Burnham,,,2 000,1 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000603N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109791,"51,616,667","833,333",Burnham,1,1787-01-13,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7866
1787=04=14,,"Potts, Thomas",,Suckey,,Storighton,Stoughton,,1 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0009841N,12,Aberdeen,A0409181,britannique,110427,"50,9","-0,45",Storrington,4,1787-04-14,POINT (-0.45 50.9),Sussex,Angleterre,Grande-Bretagne,A0383886,Aberdeen,Aberdeen,"57,133,333","-2,1",Ecosse,Grande-Bretagne,Angleterre,Etranger,POINT (-2.1 57.133333),7394
1787=01=10,,"Blyth, John",,Speedy,,Burnham,,,5 000,800,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000115N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109776,"51,616,667","833,333",Burnham,1,1787-01-10,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),9151
1787=05=30,,"Richardson, Henry",,Fanny,,Burnham,,,1 200,40,,4 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003575N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110679,"51,616,667","833,333",Burnham,5,1787-05-30,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7863
1787=05=12,,"Walles, Guillaume",,Trois Frères,,Saint Hélène,,,400,,,4 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000484N,12,Lisbonne [mais: Angleterre],A0380160,britannique,110560,"50,7","-1,116,667",Saint Helens,5,1787-05-12,POINT (-1.116667 50.7),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7391
1787=01=19,,"Richmond, Peter",,Rambler,,Burnham,,,1 600,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000453N,12,Bergen [mais: Angleterre],A0390524,britannique,109829,"51,616,667","833,333",Burnham,1,1787-01-19,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),8335
1787=01=10,1787=01=11,"Wyseman, Ledge","Wyseman, Lidge (spelling?)",Amitié,,Burnham,,,2 520,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000798N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109782,"51,616,667","833,333",Burnham,1,1787-01-10,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),8855
1787=11=15,,"Burt, Jean",,Prince de Galles,,Londres,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000748N,100,Londres,A0381691,britannique,111685,"51,516,667","-0,1",Londres,11,1787-11-15,POINT (-0.1 51.516667),Middlesex,Angleterre,Grande-Bretagne,A0381691,Londres,London,"51,516,667","-0,1",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-0.1 51.516667),8855
1787=12=12,,"Johnson, James",,Dunkerque,,Londres,,NOT in the Manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000492N,96,Londres,A0381691,britannique,111860,"51,516,667","-0,1",Londres,12,1787-12-12,POINT (-0.1 51.516667),Middlesex,Angleterre,Grande-Bretagne,A0381691,Londres,London,"51,516,667","-0,1",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-0.1 51.516667),8855
1787=02=14,,"Wood, James",,Amitié,,Douvres,,,40,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000704N,12,Lisbonne [mais: Angleterre],A0382747,britannique,109976,"51,133,333","1,3",Douvres,2,1787-02-14,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7391
1787=07=20,,"Stericker, John",,Joseph,,Douvres,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0007375N,12,Douvres,A0382747,britannique,110968,"51,133,333","1,3",Douvres,7,1787-07-20,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0382747,Douvres,Dover,"51,133,333","1,3",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (1.3 51.133333),7414
1787=07=07,,"Waller, Thomas",,Amitié,,Douvres,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000704N,12,Douvres,A0382747,britannique,110900,"51,133,333","1,3",Douvres,7,1787-07-07,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0382747,Douvres,Dover,"51,133,333","1,3",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (1.3 51.133333),7391
1787=05=29,,"Harmond, Henry","Harmon, Henry",Thomas et Polly,Bonne Intention,Margate,Folkestone,,40,20,8,4 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001731N,12,,A0387292,,110673,"51,08","1,183",Folkestone,5,1787-05-29,POINT (1.183 51.08),Kent,Angleterre,Grande-Bretagne,,,,,,,,,,,7100
1787=11=13,,"Stericker, Jean",,Joseph,,Douvres,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0007375N,12,Lisbonne [mais: Angleterre],A0382747,britannique,111681,"51,133,333","1,3",Douvres,11,1787-11-13,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7100
1787=09=01,,"Wood, William",,Liberté,,Rye,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000612N,12,Lisbonne [mais: Angleterre],A0384561,britannique,111242,"50,952,079","733,995",Rye,9,1787-09-01,POINT (0.733995 50.952079),Sussex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7100
1787=08=13,,"Kenney, Thomas",,Meme,,Deal,,,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002853N,12,Lisbonne [mais: Angleterre],A0386686,britannique,111119,"51,216,667","1,4",Deal,8,1787-08-13,POINT (1.4 51.216667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7136
1787=12=11,,"Brown, Jonathan",,Brillan,,Hull,,NOT in the Manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0016664N,80,Hull,A0389327,britannique,111844,"53,716,667","-333,333",Hull,12,1787-12-11,POINT (-0.333333 53.716667),York shire,Angleterre,Grande-Bretagne,A0389327,Hull,Hull,"53,716,667","-333,333",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-0.333333 53.716667),7136
1787=07=19,,"Stemons, Richard",,Rose,,Portsmouth,,,60,,,2 000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003984N,12,Lisbonne [mais: Angleterre],A0385489,britannique,110962,"50,766,667","-1,083,333",Portsmouth,7,1787-07-19,POINT (-1.083333 50.766667),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),6414
1787=10=27,,"Smith, John",,Nimble,,Cowes,,NOT in the Manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0016228N,12,Lisbonne [mais: Angleterre],A0401605,britannique,111606,"50,766,667","-1,3",Cowes,10,1787-10-27,POINT (-1.3 50.766667),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),6414
1787=09=22,,"Hewitt, Thomas",,Lègenrich,,Cowes,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0016266N,12,Lisbonne [mais: Angleterre],A0401605,britannique,111410,"50,766,667","-1,3",Cowes,9,1787-09-22,POINT (-1.3 50.766667),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),6414
1787=11=28,,"Smith, Jonathan",,Pitzy,,Southend,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0009601N,12,Lisbonne [mais: Angleterre],A0391400,britannique,111762,"51,533,333","0,7",Southend,11,1787-11-28,POINT (0.7 51.533333),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),6414
1787=09=12,,"Harnell, Richard",,Dolly,,Douvres,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000783N,12,Lisbonne [mais: Angleterre],A0382747,britannique,111328,"51,133,333","1,3",Douvres,9,1787-09-12,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),6414
1787=12=17,,"How, John",,Marie,,Londres,,NOT in the Manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002234N,100,Londres,A0381691,britannique,111892,"51,516,667","-0,1",Londres,12,1787-12-17,POINT (-0.1 51.516667),Middlesex,Angleterre,Grande-Bretagne,A0381691,Londres,London,"51,516,667","-0,1",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-0.1 51.516667),6414
