,ogc_fid,uhgs_id,x,y,total,toponym,toponyme_standard_fr,toponyme_standard_en,substate_1789_fr,state_1789_fr,substate_1789_en,state_1789_en,belonging_states,belonging_substates,status,has_a_clerk,geonameid,admiralty,province,shiparea,ferme_direction,ferme_bureau,partner_balance_1789,partner_balance_supp_1789,point
20,959,A0397114,-4.25,55.833333,11,Glasgow,Glasgow,Glasgow,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2640156.0,,Ecosse,ANE-MALI,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-473107.835871412,7525308.262105702]}"
21,596,A0151102,1.018953,49.424072,3,Dieppedalle,Dieppedalle,Dieppedalle,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3021408.0,Rouen,Normandie,MAN-WIGH,Rouen,Rouen,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[113429.329102278,6347126.28539239]}"
22,726,A0172163,0.083333,49.366667,1,Trouville,Trouville,Trouville,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2971555.0,Honfleur,Normandie, MAN-WIGH,Rouen,Honfleur,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[9276.587126275,6337307.682070237]}"
23,273,A0379452,-5.547778,50.113611,9,Penzance,Penzance,Penzance,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2640377.0,,Cornwall, MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-617575.821994126,6465974.562102542]}"
24,237,A0381883,1.3,52.933333,2,Cromer,Cromer,Cromer,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,3115056.0,,Norfolk,NOR-HUMB,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[144715.338031255,6970675.837776936]}"
25,875,A0390929,-2,53,1512,Angleterre,Angleterre,England,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2653292.0,,Stafford shire,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-222638.981586547,6982997.920389788]}"
26,40,A0384574,-3.966667,51.633333,6,Swansey [Swansea],Swansea,Swansea,Pays de Galles,Grande-Bretagne,Wales,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Pays de Galles""}]",,,2636432.0,,Glamorgan shire,ANE-LUND,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-441567.350586483,6734096.961937552]}"
27,1084,A0397385,-4.138611,50.396389,20,Plymouth,Plymouth,Plymouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2640194.0,,Devon shire,MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-460708.069111441,6515208.547921568]}"
28,620,A0250729,14.366667,40.616667,1,Sorento,Sorrente ,Sorrento,,Royaume de Naples,,Kingdom of Naples,"[{""1749-1815"" : ""Royaume de Naples""}]",,,,3166350.0,,,MED-TYEC,,,,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1599290.054836527,4955963.50017961]}"
29,1222,A0129594,-0.983333,45.7,0,L' Eguille,L'Éguille,L'Éguille,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Marennes,Saintonge,ACE-ROCH,La Rochelle,Marennes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-109464.128840221,5732403.655048729]}"
30,957,A1965005,3.766479,37.372777,1,Cotte d' Afrique,Côtes de Barbarie,Barbary coast,,multi-Etat,,Multi-state,"[{""1749-1815"" : ""multi-Etat""}]",,,,3026262.0,,,MED-BALS,,,,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[419282.524363557,4491195.254907888]}"
31,211,A0403551,-5.076111,50.148333,19,Falmouth,Falmouth,Falmouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2649715.0,,Cornwall,MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-565070.091730135,6472004.243124614]}"
32,422,A0404691,0.531778,51.380278,1,Chatam,Chatham,Chatham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2653305.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[59197.256175065,6688838.1765109]}"
33,813,B2123732,-55.616667,51.3,5,Havre des Petites Oyes en Terreneuve,Les Petites Oies,Goose Cove,Colonies britanniques d'Amérique,Grande-Bretagne,British colonies in America,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Colonies britanniques d'Amérique""}]",,,5963119.0,,,ACA-NEWF,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6191219.050059062,6674532.798473078]}"
34,1209,A0086002,-2.722712,43.420467,0,Bermeo,Bermeo,Bermeo,,Espagne,,Spain,"[{""1749-1815"" : ""Espagne""}]",,,,,,,ACE-CANT,,,Espagne,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-303090.913416735,5376191.778536158]}"
35,1329,A0407727,-1.2125,54.686111,0,Hartlepoole,Hartlepool ,Hartlepool ,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Durham,NOR-TYNE,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-134974.882586843,7301183.436646378]}"
36,1122,A0185236,0.516667,49.35,116,Pont Audemer,Pont-Audemer,Pont-Audemer,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,2986294.0,Caudebec et Quilleboeuf,Normandie,MAN-WIGH,Rouen,Caudebec,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[57515.107349688,6334459.091033018]}"
37,809,B2129817,-55.7,51.166667,4,Ficheau en Terre Neuve,île Fichot,Fischot Islands,Colonies britanniques d'Amérique,Grande-Bretagne,British colonies in America,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Colonies britanniques d'Amérique""}]",,,5953308.0,,,ACA-NEWF,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6200495.637185337,6650828.3055759]}"
38,1004,A0596366,-6.092877,53.520936,1,Rush,Rush,Rush,Irlande,Grande-Bretagne,Ireland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Irlande""}]",,,2961651.0,,Irlande,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-678255.965106049,7079944.36029892]}"
39,108,A0394365,-4.639167,50.333611,2,Fowey,Fowey,Fowey,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2649126.0,,Cornwall,MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-516429.708144959,6504253.106531369]}"
40,1277,A0191279,-1.859193,49.698188,0,Digueville,Digulleville ,Digulleville ,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Cherbourg,Normandie,MAN-WIGH,Caen,Cherbourg,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-206964.418046419,6394170.458989362]}"
41,306,A0387228,-5.216667,50.1,1,Gweek,Gweek,Gweek,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2647736.0,,Cornwall,MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-580716.714078075,6463612.124257667]}"
42,383,A0073119,-2.924252,43.256706,121,Bilbao,Bilbao,Bilbao,,Espagne,,Spain,"[{""1749-1815"" : ""Espagne""}]",,,,3128026.0,,,ACE-CANT,,,Espagne,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-325526.243591211,5351127.101396748]}"
43,949,A0206654,-1.14999998,49.4166679,0,,Carentan,Carentan,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,,Isigny,Normandie,MAN-WIGH,Caen,Caen,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-128017.412185874,6345859.236546553]}"
44,1255,A0163858,-3.9,48.6,0,Taulé,Taulé ,Taulé ,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Brest,Bretagne,MAN-PLYM,Lorient,Brest,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-434146.014093768,6207260.308175252]}"
45,188,A0629722,5.708671,52.847224,2,Lemmer,Lemmer,Lemmer,Frise,Provinces-Unies,Friesland,United Provinces,"[{""1749-1794"" : ""Provinces-Unies""},{""1795-1805"" : ""République batave""},{""1806-1810"" : ""Royaume de Hollande""},{""1811-1813"" : ""France""},{""1814-1815"" : ""Royaume uni des Pays-Bas""}]","[{""1749-1794"" : ""Frise""}]",,,2751729.0,,,NOR-GBIG,,,Hollande,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[635486.348826326,6954788.342253521]}"
46,1136,A0232782, 12.535744,38.018511,19,Trapano,Trapani,Trapani,,Royaume de Naples,,Kingdom of Naples,"[{""1749-1815"" : ""Royaume de Naples""}]",,,,2522876.0,,,MED-SIST,,,,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1395472.638794834,4582041.126472136]}"
47,1002,A0637592,4.64231,52.378968,4,Arlem,Haarlem,Haarlem,Hollande,Provinces-Unies,Holland,United Provinces,"[{""1749-1794"" : ""Provinces-Unies""},{""1795-1805"" : ""République batave""},{""1806-1810"" : ""Royaume de Hollande""},{""1811-1813"" : ""France""},{""1814-1815"" : ""Royaume uni des Pays-Bas""}]","[{""1749-1794"" : ""Hollande""}]",,,2755003.0,,,NOR-THAM,,,Hollande,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[516779.585304521,6868939.930937183]}"
48,9,A0177656,6.633333,43.433333,2,Roquebrune [Roquebrune sur Argens],Roquebrune-sur-Argens,Roquebrune-sur-Argens,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2982875.0,Fréjus,Provence,MED-LIGS,Toulon,Saint-Raphaël,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[738419.251822217,5378163.871641147]}"
49,866,A1965263,5.872875,43.068731,4,Fabrega,Entre le cap Cépet et Fabrégas,Between cap Cépet and Fabrégas,,France,,France,"[{""1749-1815"" : ""France""}]",,,,6545019.0,Toulon,Provence,MED-LIGS,Toulon,Toulon,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[653765.454492548,5322439.264155136]}"
50,1078,A0205085,-1.615534,49.640322,1274,Cherbourg,Cherbourg,Cherbourg,,France,,France,"[{""1749-1815"" : ""France""}]",,siège amirauté,True,9253584.0,Cherbourg,Normandie,MAN-WIGH,Caen,Cherbourg,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-179840.422239221,6384217.391491765]}"
51,1340,A0617348,5.366667,52.883333,0,Staaveren,Stavoren,Stavoren,Frise,Provinces-Unies,Friesland,United Provinces,"[{""1749-1794"" : ""Provinces-Unies""},{""1795-1805"" : ""République batave""},{""1806-1810"" : ""Royaume de Hollande""},{""1811-1813"" : ""France""},{""1814-1815"" : ""Royaume uni des Pays-Bas""}]","[{""1749-1794"" : ""Frise""}]",,,,,,NOR-GBIG,,,Hollande,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[597414.637697065,6961446.772395266]}"
52,527,A0206606,4.183333,43.566667,7,Aigues Mortes,Aigues-Mortes,Aigues-Mortes,,France,,France,"[{""1749-1815"" : ""France""}]",,siège amirauté,True,3038493.0,Aigues-Mortes,Languedoc,MED-LION,Montpellier,Montpellier,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[465686.499378697,5398625.970882379]}"
53,1026,A0618784,4.666667,51.8,61,Doort,Dordrecht ,Dordrecht ,Hollande,Provinces-Unies,Holland,United Provinces,"[{""1749-1794"" : ""Provinces-Unies""},{""1795-1805"" : ""République batave""},{""1806-1810"" : ""Royaume de Hollande""},{""1811-1813"" : ""France""},{""1814-1815"" : ""Royaume uni des Pays-Bas""}]","[{""1749-1794"" : ""Hollande""}]",,,2756669.0,,,NOR-THAM,,,Hollande,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[519490.994141773,6764043.360747746]}"
54,680,A0179891,3.166667,42.45,1,Saint Pierre [Cerbère],Saint-Pierre / Cerbère,Saint-Pierre / Cerbère,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3027915.0,Collioure,Roussillon,MED-LION,Narbonne,Collioure,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[352511.757951864,5228627.436382407]}"
55,681,A0174058,-4.507368,48.628699,1,Correjou,Corréjou ,Corréjou ,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3004495.0,Brest,Bretagne,MAN-PLYM,Lorient,Brest,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-501757.910577896,6212092.621434877]}"
56,954,A0209302,2.983333,42.766667,63,Saint Laurent [de la Salanque],Saint-Laurent-de-la-Salanque,Saint-Laurent-de-la-Salanque,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,2978925.0,Collioure,Roussillon,MED-LION,Narbonne,Collioure,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[332103.110426768,5276523.354327684]}"
57,116,A1164922,14.550648,53.426985,53,Stettin,Stettin,Szczecin,,Prusse,,Prussia,"[{""1749-1815"" : ""Prusse""}]",,,,3083829.0,,,BAL-BASO,,,Prusse,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[1619770.726072165,7062372.463854565]}"
58,3,B0000062,-70.66309,42.617109,4,Gloucester,Gloucester,Gloucester,Massachussets,Etats-Unis d'Amérique,Massachusetts,United States,"[{""1749-1783"" : ""Grande-Bretagne""},{""1783-1815"" : ""Etats-Unis d'Amérique""}]","[{""1749-1783"" : ""Colonies britanniques d'Amérique""},{""1783-1815"" : ""Massachussets""}]",,,4937829.0,,,AUE-BOST,,,Etats-Unis,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-7866179.196679262,5253872.343415047]}"
59,545,A0635351,5.416667,53.183333,8,Harlingen,Harlingen,Harlingen,Frise,Provinces-Unies,Friesland,United Provinces,"[{""1749-1794"" : ""Provinces-Unies""},{""1795-1805"" : ""République batave""},{""1806-1810"" : ""Royaume de Hollande""},{""1811-1813"" : ""France""},{""1814-1815"" : ""Royaume uni des Pays-Bas""}]","[{""1749-1794"" : ""Frise""}]",,,2754817.0,,,NOR-GBIG,,,Hollande,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[602980.612236728,7016981.824345157]}"
